"","names.NSDUH_2020."
"1161","sedvwdsmt"
"1162","sedvemopb"
"1163","sedvemctd"
"1164","sedvphlpb"
"1165","sedvphctd"
"1166","sedvlsact"
"1167","sedvserpb"
"1168","sedvpdang"
"1169","sedvlawtr"
"1170","sedvfmfpb"
"1171","sedvfmctd"
"1172","dependhal"
"1173","dependinh"
"1174","dependmth"
"1175","dependpnr"
"1176","dependtrq"
"1177","dependstm"
"1178","dependsed"
"1179","abuposhal"
"1180","abuposinh"
"1181","abuposmth"
"1182","abupospnr"
"1183","abupostrq"
"1184","abuposstm"
"1185","abupossed"
"1186","ircgirtb"
"1187","iicgirtb"
"1188","ircgcrv"
"1189","iicgcrv"
"1190","ircgcrgp"
"1191","iicgcrgp"
"1192","ircgnctl"
"1193","iicgnctl"
"1194","ircgavd"
"1195","iicgavd"
"1196","ircgpln"
"1197","iicgpln"
"1198","ircgrout"
"1199","iicgrout"
"1200","ircgrgdy"
"1201","iicgrgdy"
"1202","ircgrgwk"
"1203","iicgrgwk"
"1204","ircgrgnm"
"1205","iicgrgnm"
"1206","ircgncg"
"1207","iicgncg"
"1208","ircgslhr"
"1209","iicgslhr"
"1210","ircginfl"
"1211","iicginfl"
"1212","ircgninf"
"1213","iicgninf"
"1214","ircgincr"
"1215","iicgincr"
"1216","ircgsat"
"1217","iicgsat"
"1218","ircglmr"
"1219","iicglmr"
"1220","irdependhal"
"1221","iidependhal"
"1222","irdependinh"
"1223","iidependinh"
"1224","irdependmth"
"1225","iidependmth"
"1226","irdependpnr"
"1227","iidependpnr"
"1228","irdependtrq"
"1229","iidependtrq"
"1230","irdependstm"
"1231","iidependstm"
"1232","irdependsed"
"1233","iidependsed"
"1234","irabuposhal"
"1235","iiabuposhal"
"1236","irabuposinh"
"1237","iiabuposinh"
"1238","irabuposmth"
"1239","iiabuposmth"
"1240","irabupospnr"
"1241","iiabupospnr"
"1242","irabupostrq"
"1243","iiabupostrq"
"1244","irabuposstm"
"1245","iiabuposstm"
"1246","irabupossed"
"1247","iiabupossed"
